Maand,Dag,Routine naam,Totaal duur,Oefeningen
1,1,Whole Body Routine,16:34,5 Point Sumo Stretch • Chest & Back Fly • Standing Side Stretch • Dynamic Forward Fold • Tabletop Thoracic Twist • Dynamic Frog Stretch • Seated Glute Stretch • Dynamic Seated Split • Modified Pigeon Stretch • Seated Butterfly with Neck Stretch • Bodyweight Calf Release
1,2,Calf & Ankle Focus,16:52,High Lunge Calf Stretch • 5 Point Sumo Stretch • Calf Stretch (using a wall) • Seated Quad Stretch (optional Side Lying Quad Stretch) • Dynamic Downward Dog • Foot and Calf Stretch • Dynamic Gate Pose • Bodyweight Calf Release • Reclined Criss Cross
1,3,Dynamic Active Routine,17:06,Standing Shoulder Stretch • High Lunge Calf Stretch • Elevated Crossover Stretch • Dynamic Crossover Stretch • Reverse Prayer Pose • Side Bend (using a wall) • Thoracic Spine Rotation • Low Lunge with a Chest Stretch • Dynamic Frog Stretch • Seated Twist and Tuck
1,4,Hip Opener,16:06,Dynamic High Lunge • Low Lunge Lean • Dynamic Frog Stretch • Low Lunge with a Chest Stretch • Dynamic Gate Pose • Modified Pigeon Stretch • 90/90 Stretch • Reclined Crisscross
1,5,Whole Body Routine,15:34,High Lunge Calf Stretch • Thoracic Spine Rotation • Dynamic Overhead Sequence • Dynamic Crossover Stretch • Standing Quad Stretch • Chest Stretch (using a wall) • Figure Four (using a wall) • Low Lunge Twist • 90/90 Stretch
1,6,Glutes & Groin Focus,15:44,Dynamic Frog Stretch • Seated Glute Stretch • Adductor Drop • Seated Twist and Tuck • Reclined Crisscross • Dynamic Seated Split • Seated Butterfly with a Neck Stretch • Lying Glute Stretch • Figure Four Stretch (using a wall)
1,7,Upper Body Focus,16:39,Chest and Back Fly • Elevated Crossover Stretch • Standing Side Stretch • Dynamic Forward Fold • Side Bend (using a wall) • Tabletop Thoracic Twist • Dynamic Downward Dog • Low Lunge with a Chest Stretch • Pretzel Quad Stretch • Seated Butterfly with a Neck Stretch
1,8,Leg Focus,17:50,High Lunge Calf Stretch • Dynamic Downward Dog • Low Lunge Lean • Seated Glute Stretch • Lifted Hamstring Stretch (using a strap) • Pretzel Quad Stretch • Foot and Calf Stretch • Modified Pigeon Stretch • Adductor Drop • Figure Four (using a wall)
1,9,Tension Release,16:27,Chest Stretch (using a wall) • Standing Side Stretch • Standing Quad Stretch • Figure Four (using a wall) • Low Lunge with a Chest Stretch • Seated Quad Stretch • Kneeling Wrist Sequence • Bodyweight Calf Release • Seated Butterfly with a Neck Stretch
1,10,Whole Body Routine,16:40,Dynamic Cactus • Elevated Crossover Stretch • Dynamic High Lunge • Low Lunge Twist • Lifted Hamstring Stretch (using a strap) • Pretzel Quad Stretch • Reclined Criss Cross • Bodyweight Calf Release • Foot and Calf Stretch
1,11,Upper Body Focus,17:22,5 Point Sumo Stretch • Dynamic Crossover Stretch • Standing Shoulder Stretch • Dynamic Overhead Sequence • Reverse Prayer Pose • Thoracic Spine Rotation • Low Lunge with a Chest Stretch • Dynamic Seated Split • Kneeling Wrist Sequence • Low Lunge Twist • Seated Twist and Tuck
1,12,Spine Reset,15:46,Chest and Back Fly • 5 Point Sumo Stretch • Dynamic Overhead Sequence • Thoracic Spine Rotation • Reverse Prayer Pose • Low Lunge Twist • Seated Twist and Tuck • Lying Glute Stretch • Seated Butterfly with a Neck Stretch
1,13,Hamstring & Quad Focus,15:41,Dynamic Crossover Stretch • Standing Quad Stretch • Low Lunge Lean • Dynamic Downward Dog • Dynamic Gate Pose • Foot and Calf Stretch • Dynamic Hamstring Hook (using a strap) • Modified Pigeon Stretch • 90/90 Stretch
1,14,Tension Release,15:34,Dynamic Downward Dog • 90/90 Stretch • Adductor Drop • Lying Glute Stretch • Modified Pigeon Stretch • Foot and Calf Stretch • Lifted Hamstring Stretch (using a strap) • Seated Butterfly with a Neck Stretch • Reclined Crisscross
1,15,Whole Body Routine,17:13,Calf Stretch (using a wall) • Side Bend (using a wall) • 5 Point Sumo Stretch • Standing Shoulder Stretch • Dynamic Hamstring Hook (using a strap) • Figure Four (using a wall) • Tabletop Thoracic Twist • Dynamic Frog Stretch • Low Lunge with a Chest Stretch
1,16,Spine Reset,15:52,Dynamic Cactus • Dynamic Forward Fold • Dynamic Overhead Sequence • Elevated Crossover Stretch • Chest Stretch (using a wall) • Side Bend (using a wall) • Low Lunge Lean • Tabletop Thoracic Twist • Dynamic Seated Split • Seated Butterfly with a Neck Stretch
1,17,Upper Body Focus,16:31,Chest and Back Fly • Thoracic Spine Rotation • Standing Shoulder Stretch • Dynamic Cactus • Dynamic Forward Fold • Chest Stretch (using a wall) • Dynamic Downward Dog • Low Lunge Lean • Kneeling Wrist Sequence • Seated Glute Stretch • Seated Butterfly with a Neck Stretch
1,18,Calf & Ankle,16:52,High Lunge Calf Stretch • 5 Point Sumo Stretch • Calf Stretch (using a wall) • Seated Quad Stretch (optional Side Lying Quad Stretch) • Dynamic Downward Dog • Foot and Calf Stretch • Dynamic Gate Pose • Bodyweight Calf Release • Reclined Criss Cross
1,19,Dynamic Active Routine,17:06,Standing Shoulder Stretch • High Lunge Calf Stretch • Elevated Crossover Stretch • Dynamic Crossover Stretch • Reverse Prayer Pose • Side Bend (using a wall) • Thoracic Spine Rotation • Low Lunge with a Chest Stretch • Dynamic Frog Stretch • Seated Twist and Tuck
1,20,Hip Opener,16:06,Dynamic High Lunge • Low Lunge Lean • Dynamic Frog Stretch • Low Lunge with a Chest Stretch • Dynamic Gate Pose • Modified Pigeon Stretch • 90/90 Stretch • Reclined Crisscross
1,21,Whole Body Routine,15:34,High Lunge Calf Stretch • Thoracic Spine Rotation • Dynamic Overhead Sequence • Dynamic Crossover Stretch • Standing Quad Stretch • Chest Stretch (using a wall) • Figure Four (using a wall) • Low Lunge Twist • 90/90 Stretch
1,22,Glutes & Groin Focus,15:44,Dynamic Frog Stretch • Seated Glute Stretch • Adductor Drop • Seated Twist and Tuck • Reclined Crisscross • Dynamic Seated Split • Seated Butterfly with a Neck Stretch • Lying Glute Stretch • Figure Four Stretch (using a wall)
1,23,Upper Body Focus,16:39,Chest and Back Fly • Elevated Crossover Stretch • Standing Side Stretch • Dynamic Forward Fold • Side Bend (using a wall) • Tabletop Thoracic Twist • Dynamic Downward Dog • Low Lunge with a Chest Stretch • Pretzel Quad Stretch • Seated Butterfly with a Neck Stretch
1,24,Leg Focus,17:50,High Lunge Calf Stretch • Dynamic Downward Dog • Low Lunge Lean • Seated Glute Stretch • Lifted Hamstring Stretch (using a strap) • Pretzel Quad Stretch • Foot and Calf Stretch • Modified Pigeon Stretch • Adductor Drop • Figure Four (using a wall)
1,25,Tension Release,16:27,Chest Stretch (using a wall) • Standing Side Stretch • Standing Quad Stretch • Figure Four (using a wall) • Low Lunge with a Chest Stretch • Seated Quad Stretch • Kneeling Wrist Sequence • Bodyweight Calf Release • Seated Butterfly with a Neck Stretch
1,26,Whole Body Routine,16:40,Dynamic Cactus • Elevated Crossover Stretch • Dynamic High Lunge • Low Lunge Twist • Lifted Hamstring Stretch (using a strap) • Pretzel Quad Stretch • Reclined Criss Cross • Bodyweight Calf Release • Foot and Calf Stretch
1,27,Upper Body Focus,17:22,5 Point Sumo Stretch • Dynamic Crossover Stretch • Standing Shoulder Stretch • Dynamic Overhead Sequence • Reverse Prayer Pose • Thoracic Spine Rotation • Low Lunge with a Chest Stretch • Dynamic Seated Split • Kneeling Wrist Sequence • Low Lunge Twist • Seated Twist and Tuck
